route,route_flow
"[4697, 4651, 4662, 4689, 4819, 4855, 4920, 9173, 4794, 4713, 4666, 4645, 4609, 4645]",20
"[4689, 4662, 4651, 4662, 4694, 4808, 4893, 4907, 4950, 4938, 4879, 4819, 4855, 4920]",20
"[4794, 9173, 4920, 4855, 4819, 4689, 4694, 4697, 4806, 4808, 4893, 4907, 4950, 5021, 5082, 5123, 5126, 9176]",20
"[9163, 9162, 5082, 5123, 5122, 9174, 5190, 8359, 9176, 5126, 9162, 9163, 5010, 4927, 4944, 4961, 4854]",20
"[5012, 8352, 5122, 5100, 9156, 9158, 9157, 8345, 9155, 9156, 5100, 5122, 8352, 5012, 5021, 5082, 5123, 9175]",20
"[9161, 4920, 4855, 4819, 4671, 4680, 4671, 4819, 4879, 4938, 5012, 8352, 5122, 5100, 9156]",20
"[4697, 4806, 4835, 4854, 4863, 4881, 4732, 4881, 4863, 4854, 4961, 4944, 4835, 4806, 4808, 4694, 4689]",20
"[4697, 4806, 4927, 4944, 4835, 4854, 4863, 4881, 4732, 4745, 4758, 4832, 4852, 4942]",20
"[4794, 9173, 4920, 4855, 4819, 4689, 4662, 4651, 4635, 4664, 4724, 4863, 4854, 4863, 4724, 4732, 4634, 4642, 4663]",20
"[4697, 4806, 4927, 4893, 4907, 5010, 4927, 4806, 4927, 5010, 4907, 4893, 4879, 4819, 4855, 4920, 9173, 4794]",20
"[4724, 4706, 4697, 4806, 4927, 5010, 9163, 9162, 5126, 9176, 9175, 5123, 5082, 5021]",20
"[4907, 4950, 5021, 5082, 5123, 9175, 9176, 5126, 9162, 5082, 5021, 9163, 5010, 4927, 4806]",20
"[4893, 4907, 4950, 5021, 5082, 5123, 5126, 9162, 9163, 5010, 4927, 4944, 4835, 4854, 4863, 4724]",40
"[5126, 5123, 5122, 8352, 5012, 4938, 4879, 4819, 4671, 4680, 4671, 4819, 4855, 4920, 4855, 4819, 4689, 4694]",20
"[4634, 4664, 4635, 4651, 4662, 4694, 4689, 4660, 4589, 4605, 4521, 4493, 4471, 4423]",20
"[4706, 4697, 4806, 4927, 4944, 4835, 4706, 4724, 4732, 4745, 4758, 4779, 4929]",40
"[4664, 4724, 4863, 4904, 4973, 9164, 9177, 9163, 9162, 5126, 5123, 5122, 8352, 5012, 4938, 4879, 4819, 4671, 4680]",20
"[4724, 4863, 4854, 4835, 4806, 4808, 4694, 4697, 4651, 4635, 4664, 4634, 4642]",20
"[4526, 9001, 4526, 4554, 4563, 4615, 8364, 4779, 4852, 4942, 4852, 4779, 8364, 4615, 4563, 4554]",20
"[4562, 4589, 4605, 4616, 4630, 4680, 4671, 4660, 4689, 4662, 4651, 4635, 4664]",120
"[4879, 4938, 5012, 8352, 5122, 5123, 5082, 5021, 4950, 4907, 4893, 4907, 4950, 4938, 5012]",20
"[4493, 4471, 4496, 4539, 4616, 4605, 4671, 4819, 4879, 4938, 5012, 8352, 5122, 9174, 5190, 8359, 9176]",20
